r_min|p_min|SR|SLR|r_prim_min|p_prim_min
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
1.34767|29.0|0.90923|-0.26353|1.0|0.0
1.0|9.0|0.53877|-0.4239|1.0|0.0
